Crop,Disease,Precision,Recall,F1-Score,Support
Potato,bacterial_wilt,0.9573,0.896,0.9256,125
Potato,early_blight,0.9627,0.9665,0.9646,747
Potato,healthy,0.8606,0.8657,0.8631,499
Potato,late_blight,0.8814,0.9167,0.8987,624
Potato,leafroll_virus,0.9368,0.978,0.957,91
Potato,mosaic_virus,0.9474,0.9403,0.9438,134
Potato,nematode,0.875,0.7,0.7778,10
Potato,pests,0.7921,0.708,0.7477,113
Potato,phytophthora,0.7821,0.7922,0.7871,77
Rice,Healthy,0.7699,0.8715,0.8176,288
Rice,Leaf_Blast,0.764,0.6355,0.6939,214
Rice,Neck_Blast,1.0,0.9845,0.9922,193
Rice,bacterial_blight,0.9729,0.9111,0.941,315
Rice,blast,0.9928,0.9416,0.9665,291
Rice,brown_spot,0.892,0.8879,0.8899,428
Rice,tungro,0.996,1.0,0.998,248
Tomato,bacterial_spot,0.831,0.5514,0.6629,428
Tomato,early_blight,0.5766,0.3351,0.4238,191
Tomato,healthy,0.8882,0.9018,0.895,326
Tomato,late_blight,0.2918,0.7953,0.427,386
Tomato,leaf_curl,0.9849,0.9116,0.9469,1075
Tomato,leaf_mold,0.8488,0.6728,0.7506,217
Tomato,mosaic_virus,0.7647,0.1625,0.268,80
Tomato,septoria_leaf_spot,0.7793,0.7686,0.7739,363
Tomato,spider_mites,0.9478,0.3344,0.4943,326
Tomato,target_spot,0.6483,0.5258,0.5806,291
Wheat,Brown_Rust,0.9467,0.8696,0.9065,184
Wheat,Healthy,0.9827,0.9784,0.9806,232
Wheat,Yellow_Rust,0.9586,0.9586,0.9586,169
sugarcane,BacterialBlights,0.9685,0.9811,0.9747,1003
sugarcane,Healthy,0.6936,0.9063,0.7858,747
sugarcane,Mosaic,0.854,0.6463,0.7358,670
sugarcane,RedRot,0.8236,0.7674,0.7945,718
sugarcane,Rust,0.8392,0.8061,0.8223,686
sugarcane,Yellow,0.729,0.7808,0.754,689
