Crop,Disease,Precision,Recall,F1-Score,Support
Potato,bacterial_wilt,1.0,1.0,1.0,125
Potato,early_blight,0.9986,0.9826,0.9906,747
Potato,healthy,0.998,0.978,0.9879,499
Potato,late_blight,0.9984,0.984,0.9911,624
Potato,leafroll_virus,1.0,0.989,0.9945,91
Potato,mosaic_virus,0.9852,0.9925,0.9888,134
Potato,nematode,0.25,1.0,0.4,10
Potato,pests,0.9737,0.9823,0.978,113
Potato,phytophthora,0.987,0.987,0.987,77
Rice,Healthy,0.885,0.9618,0.9218,288
Rice,Leaf_Blast,0.8702,0.8458,0.8578,214
Rice,Neck_Blast,1.0,1.0,1.0,193
Rice,bacterial_blight,1.0,1.0,1.0,315
Rice,blast,1.0,1.0,1.0,291
Rice,brown_spot,0.9658,0.9229,0.9438,428
Rice,tungro,1.0,1.0,1.0,248
Tomato,bacterial_spot,0.9748,0.9953,0.985,428
Tomato,early_blight,0.9692,0.9895,0.9793,191
Tomato,healthy,0.9969,0.9969,0.9969,326
Tomato,late_blight,0.9896,0.987,0.9883,386
Tomato,leaf_curl,1.0,0.986,0.993,1075
Tomato,leaf_mold,0.9954,0.9954,0.9954,217
Tomato,mosaic_virus,0.9506,0.9625,0.9565,80
Tomato,septoria_leaf_spot,0.9972,0.9972,0.9972,363
Tomato,spider_mites,0.9939,0.9939,0.9939,326
Tomato,target_spot,0.9932,1.0,0.9966,291
Wheat,Brown_Rust,1.0,0.9891,0.9945,184
Wheat,Healthy,1.0,1.0,1.0,232
Wheat,Yellow_Rust,0.9883,1.0,0.9941,169
sugarcane,BacterialBlights,0.997,0.996,0.9965,1003
sugarcane,Healthy,0.9722,0.9839,0.978,747
sugarcane,Mosaic,0.9774,0.9701,0.9738,670
sugarcane,RedRot,0.9724,0.9805,0.9764,718
sugarcane,Rust,0.9897,0.9825,0.9861,686
sugarcane,Yellow,0.9737,0.9681,0.9709,689
